# Формат: URL | ObjectName | ProductID | Type
# Комментарии начинаются с #
# Пустые строки игнорируются

https://cdn1.ozone.ru/s3/multimedia-2/6714764426.jpg | laptops/msi-titan-1.jpg | 1 | Image
https://www.ixbt.com/img/r30/00/02/56/91/msi-titan-gt77-12uhs-big.jpg | laptops/msi-titan-2.jpg | 1 | Image
https://rutube.ru/video/24f70de9c47c9df1be60adfbd6b3d3db/?ysclid=mf7837kqg3115263121| laptops/msi-titan-review.mp4 | 1 | Video

https://i.ebayimg.com/images/g/IUoAAeSwPG5oMKqS/s-l500.jpg | laptops/lenovo-legion-1.jpg | 2 | Image
https://cdn1.youla.io/files/images/780_780/65/df/65df0a0dc3773b77740cf344-2.jpg | laptops/lenovo-legion-2.jpg | 2 | Image

https://n.cdn.cdek.shopping/images/shopping/9257a5ea990e4f7fb298cf575b4dd336.jpg?v=1 | laptops/macbook-pro-1.jpg | 3 | Image
https://appgreatstore.ru/upload/iblock/1e9/ndvccnc38q1a2l6i3yzdn45jdkkysxe5.jpg | laptops/macbook-pro-2.jpg | 3 | Image

https://static.1k.by/images/productsimages/ip/big/pp6/4/4931862/i128c38fef.jpg | laptops/MSI-Raider-18 | 4 | Image
https://overclockers.ru/st/legacy/blog/413830/606041_O.jpg | laptops/MSI-Raider-18 | 4 | Image

https://thedigitaltech.com/wp-content/uploads/2022/07/Asus-ROG-Zephyrus-Duo-16.jpg | laptops/ASUS-ROG-Zephyrus-Duo-16 | 5 | Image
https://wit.ru/images/1/10625/10627/10640/90NR0D71-M000X0-421567.png | laptops/ASUS-ROG-Zephyrus-Duo-16 | 5 | Image

https://static.1k.by/images/productsimages/ip/big/pp6/4/4931862/i128c38fef.jpg | laptops/MSI-Vector-17 | 6 | Image
https://img.mvideo.ru/Pdb/400293516b4.jpg | laptops/MSI-Vector-17 | 6 | Image

https://comparema.ru/image/cache/catalog/products/3441782_3-1200x800.jpg | laptops/ASUS-VivoBook-Pro-15 | 7 | Image
https://cdn1.ozone.ru/s3/multimedia-u/6479990442.jpg | laptops/ASUS-VivoBook-Pro-15 | 7 | Image

